code	name	last_modified	transfer_auto	transfer_evidence	vital_auto	vital_evidence	health_sensitive_auto	health_evidence	medical_basis_auto	medical_evidence	law_first_line
TN	Tunisia	12 February 2026	AUTH	The transfer of personal data is treated in the 5th Chapter of the 2004 Act on the protection of personal data (Articles 47 to 52), and is generally prohibited or subject to strict measures, including prior authorization (submitted to the National Authority for Protection of Personal Data), and the 	yes	The transfer of personal data to a foreign country is prohibited whenever it may endanger public security or Tunisia's vital interests.	yes	Health data is defined by above-mentioned INPDP Decision No. 4 of September 5, 2018 as follows:“ sensitive personal data, which concerns all information related to the physical, mental or psychological health situation of the natural person concerned, as well as his hereditary or acquired genetic ch	no		Tunisia has established itself as a regional pioneer in the protection of personal data, initiating pioneering efforts in this field as early as 2002.
TR	Turkey	27 January 2025	COND	The LPPD distinguishes between the transfer of personal data to third parties in Turkey and the transfer of personal data to third countries.	yes	Moreover, in the absence of an adequacy decision or the appropriate safeguards, which are listed above, data controllers and data processors may transfer personal data abroad in incidental and non-repetitive manner, only in one of the following cases: The data subject gives explicit consent to the t	yes	"Definitions in Turkey Definition of personal data In the LLPD, personal data is defined as“ Any information relating to an identified or identifiable natural person.” Definition of sensitive personal data Sensitive personal data (Special Categories of Personal Data under the LPPD) is defined as"" per"	yes	Accordingly, the special categories of personal data shall only be processed, provided that: Explicit consent of the data subject is obtained; It is explicitly stipulated by law; Processing is necessary to protect the life or bodily integrity of the data subject or of another natural person where th	The main piece of legislation covering data protection in Turkey is the Law on the Protection of Personal Data No. 6698 dated April 7, 2016 (LPPD).
TM	Turkmenistan	23 December 2022	COND	For the purposes of cross-border transfers of personal data, the relevant consent of owner of personal data is required.	no		no		no		This content was last reviewed in 2022 and may not reflect recent legislative updates.
AE4	UAE - Abu Dhabi Global Market Free Zone	9 January 2024	COND	International transfers The DPR restricts the transfer of Personal Data out of the ADGM to a jurisdiction outside of the ADGM, or to an international organisation.	yes	The Commissioner does not require exporters relying on (i) – (v) above to conduct a detailed analysis of the laws of the importing jurisdiction, but recommends that exporters conduct due diligence on importing entities to ensure that they are capable of meeting their commitments under (i) – (v) abov	yes	Definition of Special Categories of Personal Data Personal Data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs; Genetic Data, Biometric Data for the purpose of uniquely identifying a natural person, Data Concerning Health or data concerning a natural person	yes	Data Controllers may Process Special Categories of Personal Data when any of the following conditions are met: the Data Subject has given explicit Consent to the Processing of their Special Categories of Personal Data for one or more specified purposes; Processing is necessary for the purposes of ca	Note: Please also see UAE – General, UAE – DIFC, UAE – DHCC .
AE2	UAE - Dubai (DIFC)	27 January 2025	COND	As per Article 26 DPL, Personal Data may be transferred out of the DIFC: to a country or jurisdiction that has been determined to have adequate protections (available on the DIFC Commissioner for Data Protection website); or if it takes place in accordance with Article 27 DPL.	yes	Article 27 (3) DPL sets out the following derogations: a Data Subject has explicitly consented to a proposed transfer, after being informed of possible risks of such transfer due to the absence of an adequacy decision or appropriate safeguards; the transfer is necessary for the performance of a cont	yes	Definition of Special Categories of Personal Data Personal data revealing or concerning (directly or indirectly) racial or ethnic origin, communal origin, political affiliations or opinions, religious or philosophical beliefs, criminal record, trade-union membership and health or sex life and includ	yes	Data controllers may collect and Process Special Categories of Personal Data when any of the following conditions are met (as per Article 11 DPL), in addition to establishing one of the legal bases under Article 10, set out above: a Data Subject has given explicit consent, which complies with the co	Note: Please also see UAE – General, UAE – ADGM, UAE – DHCC .
AE3	UAE - Dubai Health Care City Free Zone	27 January 2025	COND	Patient Health Information may only be transferred to a third party located in a jurisdiction outside DHCC if: an adequate level of protection for that Patient Health Information is ensured by the laws and regulations that are applicable to the third party; and the transfer is either: authorized by 	no		no		no		Note: Please also see UAE – General, UAE – DIFC, UAE – ADGM .
AE	UAE - General	27 January 2025	COND	Data transfers out of the UAE may be subject to different laws.	no		yes	Definition of Sensitive Personal Data“ Sensitive Personal Data” is defined as any data that directly or indirectly reveals a natural person's family, racial origin, political or philosophical opinions, religious beliefs, criminal records, biometric data, or any data related to the health of such per	yes	Legal Bases for Processing (Article 4) The PDPL prohibits Processing Personal Data without the consent of the Data Subject, except in the following cases: if the Processing is necessary for the Controller or Data Subject to fulfill his / her obligations and exercise his / her legally established rig	Note: Please also see UAE – Dubai (DIFC), UAE – ADGM, UAE – DHCC.
UG	Uganda	13 February 2026	LOCAL	Regulation 30(2) of the Data Protection and Privacy Regulations prohibits any further transfer of personal data processed outside Uganda to a third country without the consent of the data subject.	no		yes	However, section 9 of the Data Protection and Privacy Act defines a related term,“ special personal data” , as data which relates to the religious or philosophical beliefs, political opinion, sexual life, financial information, health status or medical records of an individual.	no		A person’s right to informational privacy is protected, first, under Article 27 of the Constitution of the Republic of Uganda.
UA	Ukraine	27 January 2025	COND	In accordance with Data Protection Law, personal data may be transferred to foreign parties when there is an appropriate level of protection of personal data in the respective state of the transferee.	yes	Personal data may be transferred abroad based on one of the following grounds: Unambiguous consent of the personal data subject; Cross-border transfer is needed to enter into or perform a contract between the personal data owner and a third party in favor of the data subject; Necessity to protect th	no		no		"The Law of Ukraine No. 2297 VI"" On Personal Data Protection"" as of June 1, 2010 (Data Protection Law) is the main legislative act regulating personal data protection in Ukraine."
GB	United Kingdom	24 February 2026	COND	Transfers of personal data by a controller or a processor to third countries outside of the United Kingdom are only permitted where the conditions laid down in the UK GDPR are met (Article 44).	yes	Article 49 of the UK GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is n	yes	"The UK GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)"	yes	Special categories of personal data Processing of special categories of personal data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in additio	"Following the UK’s exit from the European Union, the UK Government transposed the General Data Protection Regulation (Regulation (EU) 2016/679) into UK national law (thereby creating the"" UK GDPR"")."
US	United States	31 March 2026	COND	There are, generally, no geographic transfer restrictions that apply in the US, except regarding the storing of some governmental records and information.	no		yes	Some laws—such as data breach and security laws—apply more narrowly, to sensitive personal information, such as government identifiers, financial account information, password, biometrics, health insurance or medical information, and other information that can lead to identity fraud and theft or fin	no		United States privacy law is a complex patchwork of national, state and local privacy laws and regulations.
UY	Uruguay	6 March 2026	COND	Under Law No. 18,331, the communication or transfer of personal data to third parties must be consistent with the purposes for which the data was originally collected and generally requires the prior consent of the data subject, unless a statutory exception applies.	no		yes	Sensitive Personal Data Personal data revealing racial or ethnic origin, political opinions, religious or moral beliefs, trade union membership, or information concerning health or sexual life.	no		Law No. 18,331 (2008) – Personal Data Protection and Habeas Data Act; establishes the general legal framework for the processing and protection of personal data.
UZ	Uzbekistan	27 January 2025	COND	The Law on Personal Data defines the cross-border transfer of personal data as the transfer of personal data by the owner / operator outside the territory of the Republic of Uzbekistan.	no		yes	Under the foregoing Law, special personal data includes: data about racial or social origin; data about political, religious or ideological beliefs; data about membership in political parties and trade unions; data about physical and mental health; and data about private life and criminal records.	no		The main legal act governing processing and protection of personal data in Uzbekistan is the Law of the Republic of Uzbekistan No.
VE	Venezuela	12 December 2022	COND	According to the general principles dictated by the TSJ, there is a protection against the transfer of data to States whose legislation does not guarantee a level of protection similar to the one described.	no		no		no		This content was last reviewed in 2022 and may not reflect recent legislative updates.
VN	Vietnam	15 February 2026	LOCAL	Additional data localization requirements In addition to the above TIA requirements, data localization could also be imposed on certain businesses providing services in Vietnam.	yes	As regards exemptions, cases that are not required to comply with regulations on conducting the TIA include: cross-border transfer of personal data by competent state authorities; agencies or organizations storing the personal data of their employees on cloud computing services; personal data subjec	yes	Decree 356 further specifies the scope of sensitive personal data by providing a detailed list that includes: data revealing racial origin or ethnic origin; political, religious, and belief-related views; information on private life, personal secrets, and family secrets health conditions; biometric 	no		On 26 June 2025, Law No. 91/2025/QH15 on Personal Data Protection (“PDPL”) was officially enacted by the National Assembly and took effect on 1 January 2026.
ZM	Zambia	28 April 2026	LOCAL	The DPA provides that personal data must be processed and stored on a server or data centre located in the Republic.	no		no		yes	Sensitive personal data may not be processed unless: processing is necessary for the establishment, exercise or defence of a legal claim or whenever a court is exercising a judicial function; processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the w	"Data Protection Act No. 3 of 2021 (the“ DPA"" ) and the Data Protection (Registration and Licensing) Regulations, 2021."
ZW	Zimbabwe	20 March 2026	COND	According to section 28 of the Act, data controllers may not transfer personal information to a third party in a foreign country unless an adequate level of protection is ensured.	no		no		yes	Several exceptions to the written consent requirement for genetic, biometric, and health data are outlined in the Act, including: Processing necessary to carry out the controller's obligations and rights in employment law; Processing necessary to comply with national security laws; Processing necess	Cyber and Data Protection Act [Chapter 12:07] (the“ Act” ); and Cyber and Data Protection (Licensing of Data Controllers and Appointment of Data Protection Officers) Regulations, 2024 (the“ Regulations” ).
